,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
249,Kyle Guy,SG,SAC,22,SAC,1,0,0,4,2,5
250,Rui Hachimura,PF,WAS,21,WAS,87,37,8,649,254,545
251,Devon Hall,SG,OKC,24,OKC,13,4,1,20,6,30
252,Donta Hall,PF,TOT,22,TOT,4,3,6,39,15,22
253,Donta Hall,PF,DET,22,DET,2,1,1,6,1,4
254,Donta Hall,PF,BRK,22,BRK,2,2,5,33,14,18
255,Dusty Hannahs,SG,MEM,26,MEM,0,0,0,12,4,9
256,Tim Hardaway Jr.,SG,DAL,27,DAL,137,41,5,1121,384,884
257,James Harden,SG,HOU,30,HOU,512,125,60,2335,672,1514
258,Maurice Harkless,SF,TOT,26,TOT,68,58,33,357,142,283
259,Maurice Harkless,SF,LAC,26,LAC,48,49,30,275,112,217
260,Maurice Harkless,SF,NYK,26,NYK,20,9,3,82,30,66
261,Jared Harper,PG,PHO,22,PHO,0,0,0,2,1,4
262,Montrezl Harrell,C,LAC,26,LAC,107,39,72,1173,471,812
263,Gary Harris,SG,DEN,25,DEN,118,76,14,581,218,519
264,Joe Harris,SF,BRK,28,BRK,144,41,17,998,381,784
265,Tobias Harris,PF,PHI,27,PHI,227,53,40,1411,553,1173
266,Shaquille Harrison,SF,CHI,26,CHI,49,34,19,209,77,165
267,Josh Hart,SF,NOP,24,NOP,108,63,23,656,225,532
268,Isaiah Hartenstein,C,HOU,21,HOU,18,9,12,107,44,67
269,Udonis Haslem,PF,MIA,39,MIA,1,0,0,12,4,11
270,Jaxson Hayes,C,NOP,19,NOP,56,26,55,472,174,259
271,Gordon Hayward,SF,BOS,29,BOS,212,38,22,909,350,700
272,John Henson,PF,TOT,29,TOT,54,24,42,221,95,171
273,John Henson,PF,CLE,29,CLE,43,16,32,145,61,120
274,John Henson,PF,DET,29,DET,11,8,10,76,34,51
275,Dewan Hernandez,C,TOR,23,TOR,3,1,0,14,5,14
276,Juan Hernangómez,PF,TOT,24,TOT,40,19,9,288,100,247
277,Juan Hernangómez,PF,DEN,24,DEN,22,5,5,107,38,110
278,Juan Hernangómez,PF,MIN,24,MIN,18,14,4,181,62,137
279,Willy Hernangómez,C,CHO,25,CHO,29,10,7,190,74,139
280,Tyler Herro,SG,MIA,20,MIA,121,34,9,743,270,631
281,Kevin Hervey,PF,OKC,23,OKC,5,1,1,17,7,27
282,Mario Hezonja,PF,POR,24,POR,50,36,9,256,92,218
283,Buddy Hield,SG,SAC,27,SAC,213,66,17,1382,498,1162
284,George Hill,PG,MIL,33,MIL,180,47,5,554,194,376
285,Solomon Hill,SF,TOT,28,TOT,104,43,12,323,110,278
